id,tipo,origen,aditivo,clasificación,aditivos_alergicos
E473,Sospechoso,Químico o sintético,Sucroésteres de Ácidos Grasos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E474,Sospechoso,Químico o sintético,Sucroglicéridos de Ácidos Grasos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E475,Sospechoso,Químico o sintético,Ésteres de Ácidos Grasos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E476,Sospechoso,Químico o sintético,Polirricinoleato de Ácidos Grasos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E477,Sospechoso,Químico o sintético,Ésteres propano de Ácidos Grasos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E478,Sospechoso,Químico o sintético,Lacatato de Ácidos Grasos,Estabilizante Estabilizantes,"Warning, this could kill you!"
E479,Sospechoso,Químico o sintético,Aceite soja oxid.,Estabilizante Estabilizantes,"Dont worry, be happy!"
E480,Sospechoso,Químico o sintético,Ácido estérico,Estabilizante Estabilizantes,"Warning, this could kill you!"
E481,Sospechoso,Químico o sintético,Stearoil-2-lactato,Estabilizante Estabilizantes,"Warning, this could kill you!"
E482,Sospechoso,Químico o sintético,"Stearoil-2-lactato, Calcio lactato",Estabilizante Estabilizantes,"Warning, this could kill you!"
E483,Sospechoso,Químico o sintético,"Tartrato de Sterato, Tartrato esteárico",Estabilizante Estabilizantes,"Dont worry, be happy!"
E491,Sospechoso,Químico o sintético,"Spans, Sorbitanos",Estabilizante Estabilizantes,"Dont worry, be happy!"
E492,¡Peligroso!,Indeterminado,Triestearato de Sorbitán,Estabilizante Estabilizantes,"Dont worry, be happy!"
E495,Sospechoso,Químico o sintético,Spans,Estabilizante Estabilizantes,"Dont worry, be happy!"
E500,No nocivo,Químico o sintético,Carbonato Na,Estabilizante Estabilizantes,"Dont worry, be happy!"
E501,No nocivo,Químico o sintético,Carbonatos Ca,Estabilizante Estabilizantes,"Dont worry, be happy!"
E503,No nocivo,Químico o sintético,Carbonato Amo.,Estabilizante Estabilizantes,"Dont worry, be happy!"
E504,No nocivo,Químico o sintético,Carbonatos Mg,Estabilizante Estabilizantes,"Dont worry, be happy!"
E507,Sospechoso,Químico o sintético,Ácido Clorhídrico,Estabilizante Estabilizantes,"Dont worry, be happy!"
E508,No nocivo,Químico o sintético,Cloruro K,Estabilizante Estabilizantes,"Dont worry, be happy!"
E509,Sospechoso,Químico o sintético,Cloruro Ca,Estabilizante Estabilizantes,"Dont worry, be happy!"
E511,No nocivo,Químico o sintético,Cloruro Mg,Estabilizante Estabilizantes,"Dont worry, be happy!"
E513,Sospechoso,Químico o sintético,Ácido Sulfúrico,Estabilizante Estabilizantes,"Dont worry, be happy!"
E514,Sospechoso,Químico o sintético,Sulfatos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E523,Sospechoso,Químico o sintético,Sulfatos,Estabilizante Estabilizantes,"Dont worry, be happy!"
E524,No nocivo,Químico o sintético,Hidróx. de sales,Estabilizante Estabilizantes,"Dont worry, be happy!"
E528,No nocivo,Químico o sintético,Hidróx. de sales,Estabilizante Estabilizantes,"Dont worry, be happy!"
E529,No nocivo,Químico o sintético,Óxido de Ca,Estabilizante Estabilizantes,"Dont worry, be happy!"
E530,No nocivo,Químico o sintético,Óxido Mg,Estabilizante Estabilizantes,"Dont worry, be happy!"
E535,Sospechoso,Químico o sintético,Ferrocian. sales,Estabilizante Estabilizantes,"Dont worry, be happy!"
E536,Sospechoso,Químico o sintético,Ferrocian. sales,Estabilizante Estabilizantes,"Dont worry, be happy!"
